,call sign,owner,format,lat,long,station name,power,p. unit,frequency,city of licence,n_stations,language,genre
360,CFBY-FM,Wawatay,First Nations community radio,52.1,-94.3,WRN,10,w,90.1 FM,Poplar Hill,2,1,first nations community radio
361,CIDE-FM-13,Wawatay,First Nations community radio,52.1,-94.3,Wahsa,10,w,91.9 FM,Poplar Hill,2,1,first nations community radio
362,CIYN-FM-2,My Broadcasting Corporation,classic hits,44.43389,-81.39278,my FM,3.1,kW,90.9 FM,Port Elgin,2,1,classic hits
363,CFPS-FM,Bayshore Broadcasting,adult contemporary,44.43389,-81.39278,98 The Beach,8.3,kW,97.9 FM,Port Elgin,2,1,adult contemporary
364,CFWN-FM,Small Town Radio (STR),community radio,43.95,-78.3,Northumberland 89 7,700,w,89.7 FM,Port Hope,1,1,community radio
365,CKPP-FM,Vista Broadcast Group,hot adult contemporary,44.717,-75.517,107 9 Coast FM,4.2,kW,107.9 FM,Prescott,1,1,hot adult contemporary
366,CJPE-FM,Prince Edward County Radio Corporation,community radio,44.0,-77.25,99.3 County FM,3,kW,99.3 FM,Prince Edward County,1,1,community radio
367,CJTN-FM,Quinte Broadcasting,classic rock,44.183,-77.567,Rock 107,15,kW,107.1 FM,Quinte West,1,1,classic rock
368,CBEA-FM,CBC Radio One,public news/talk,51.033,-93.833,CBC Radio One,82,w,90.5 FM,Red Lake,1,1,public news/talk
369,CHMY-FM,My Broadcasting Corporation,adult contemporary,45.47167,-76.68306,my FM,7.1,kW,96.1 FM,Renfrew,2,1,adult contemporary
370,CJHR-FM,Valley Heritage Radio,community radio,45.47167,-76.68306,Valley Heritage Radio,20,kW,98.7 FM,Renfrew,2,1,community radio
371,CFMJ,Corus Entertainment,news/talk/sports,43.867,-79.433,Global N. R. 640 Toronto,50,kW,640 AM,Richmond Hill,1,1,news/talk/sports
372,CBOF-4,Ici Radio-Canada Première,public news/talk (French),46.133,-77.55,IRC Première,40,w,1400 AM,Rolphton,1,1,public news/talk
373,CKTB,Bell Media Radio,news/talk,43.183,-79.233,610 CKTB,10/5,kW,610 AM,St. Catharines,5,1,news/talk
374,CFBN-FM,The St. Lawrence Seaway Management Corporation,tourist information,43.183,-79.233,St. Lawrence Seaway M. Co.,50,w,93.3 FM,St. Catharines,5,1,tourist information
375,CHTZ-FM,Bell Media Radio,active rock,43.183,-79.233,97 7 HITZ FM,50,kW,97.7 FM,St. Catharines,5,1,active rock
376,CFBU-FM,Brock University,campus radio,43.183,-79.233,CFBU,250,w,103.7 FM,St. Catharines,5,1,campus radio
377,CHRE-FM,Bell Media Radio,adult contemporary,43.183,-79.233,105.7 EZ Rock,50,kW,105.7 FM,St. Catharines,5,1,adult contemporary
378,VF8016,Faith Baptist Church of St. Thomas,Christian radio LPFM,42.775,-81.183,Faith Baptist Church,1,w,90.1 FM,St. Thomas,3,1,christian radio lpfm
379,CKZM-FM,My Broadcasting Corporation,adult contemporary,42.775,-81.183,my FM,4.37,kW,94.1 FM,St. Thomas,3,1,adult contemporary
