,call sign,owner,format,station name,for.,power,p. unit,frequency,city of licence
213,CKTI-FM,Points Eagle Radio,First Nations community radio,The Eagle,e,420,w,107.7 FM,Kettle Point
214,CIYN-FM,My Broadcasting Corporation,classic hits,my FM,p,5.66,kW,95.5 FM,Kincardine
215,CHCR-FM,Homegrown Community Radio,community radio,CHCR,o,33,w,102.9 FM,Killaloe
216,CFKL-FM,Wawatay,First Nations community radio,WRN,e,1,w,90.1 FM,Kingfisher Lake
217,CIDE-FM-7,Wawatay,First Nations community radio,Wahsa,e,10,w,91.9 FM,Kingfisher Lake
218,CKVI-FM,Kingston Collegiate and Vocational Institute,community Radio,The Cave,o,2,kW,91.9 FM,Kingston
219,CBBK-FM,CBC Music,public music,CBC Music,2,1.2,kW,92.9 FM,Kingston
220,CKXC-FM,Rogers Communications,country,Country 93.5,c,7.5,kW,93.5 FM,Kingston
221,CFMK-FM,Corus Entertainment,classic hits,96 3 Big FM,p,28,kW,96.3 FM,Kingston
222,CFLY-FM,Bell Media Radio,hot adult contemporary,98 3 Fly FM,p,95.5,kW,98.3 FM,Kingston
223,CKLC-FM,Bell Media Radio,country,Pure Country 99,c,15,kW,98.9 FM,Kingston
224,CJBC-2-FM,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,1.563,kW,99.5 FM,Kingston
225,CKJJ-FM-3,United Christian Broadcasters Canada,Christian radio,UCB Canada,g,50,w,100.5 FM,Kingston
226,CFRC-FM,Queen's University,campus radio,CFRC,o,3,kW,101.9 FM,Kingston
227,CKWS-FM,Corus Entertainment,classic hits,104 3 Fresh Radio,p,8,kW,104.3 FM,Kingston
228,CIKR-FM,Rogers Communications,active rock,K Rock 105 7,p,50,kW,105.7 FM,Kingston
230,CBCK-FM,CBC Radio One,public news/talk,CBC Radio One,1,100,kW,107.5 FM,Kingston
231,CBCR-FM,CBC Radio One,public news/talk,CBC Radio One,1,2.65,kW,90.3 FM,Kirkland Lake
232,CBON-FM-1,Ici Radio-Canada Première,public news/talk (French),IRC Première,A,2.65,kW,93.7 FM,Kirkland Lake
233,CJKL-FM,Connelly Communications,adult contemporary,CJKL FM,p,23,kW,101.5 FM,Kirkland Lake
234,CKGL,Rogers Communications,news/talk,570 News,n,10,kW,570 AM,Kitchener
235,CJIQ-FM,Conestoga College,campus radio,CJIQ,o,8.22,kW,88.3 FM,Kitchener
